OS_DOWNGRADE,R1190,GAA1
H_FATP_SWDL,R2200,GAB1
H_QT,R2210,GAC1
LED_COLOR_CAL,R1200,GAD1
H_AUDIO,TSTD,GAE1
ET_LED_EYE_SAFETY,R1210,GAF1
OUTWARD_CAMERA,R1220,GAG1
INWARD_CAMERA,R1230,GAH1
DARK_TEST,R1240,GAI1
H_RF,R2230,GAJ1
H_FOVI,R2100,GAK1
H_BURN_IN,R2140,GAL1
H_OC_SWDL,R2240,GAM1
H_INSIDE_OUT_ALGOSERVER,R2170,GAN1
H_INSIDE_OUT_WRITE,R2180,GAO1
RGB_COLOR_CAL,R1250,GAP1
FACE_TRACKING_CAL,R1260,GAQ1
FTDL_PERSIST_BACKUP,R1270,GAR1
P_PROVISION,R4040,GAS1
P_PAIRING,TSTS,GAM1
P_FINALVR,TSTL,GAN1
P_PRELOAD,R4050,GAO1
P_GATEKEEPER,TSTM,GAP1